Câu 1: B | B. Đường Kách mệnh.
Câu 2: D | D. Báo Thanh niên.
Câu 3: A | A. Đông Dương Cộng sản Đảng.
Câu 4: B | B. Phong trào Cần Vương.
Câu 5: A | A. Hà Nội - Bí thư Trần Văn Cung.
Câu 6: C | C. Nguyễn Ái Quốc.
Câu 7: C | C. Giai cấp vô sản.
Câu 8: A | A. Lương thực - thực phẩm, hàng tiêu dùng, hàng xuất khẩu.
Câu 9: B | B. Chỉ thị số 100-CT/TW, ngày 13/1/1981 của Ban Bí thư Trung ương Đảng khóa V.
Câu 10: B | B. Đại hội quốc dân (16/8/1945).
Câu 11: A | A. Cuộc bãi công của thợ máy xưởng Ba Son cảng Sài Gòn (1925).
Câu 12: A | A. Giai đoạn chuẩn bị giành chính quyền.
Câu 13: A | A. Giải phóng dân tộc.
Câu 14: D | D. Cả ba phương án kia đều đúng.
Câu 15: D | D. Cả ba phương án kia đều đúng.
Câu 16: A | A. Mâu thuẫn giữa dân tộc ta với thực dân Pháp xâm lược và tay sai; mâu thuẫn
Câu 17: A | A. Thành lập Đảng Cộng sản Việt Nam (1930).
Câu 18: B | B. Tạo thời cơ thuận lợi để nhân dân ta tiến lên đánh cho “ngụy nhào”.
Câu 19: B | B. Nó đã chuyển cuộc kháng chiến chống Mỹ, cứu nước sang giai đoạn mới: Tiến
Câu 20: D | D. Cả ba phương án kia đều đúng.
Câu 21: D | D. Khuynh hướng vô sản và khuynh hướng dân chủ tư sản.
Câu 22: B | B. Quy định số 15-QĐ/TW của Ban Chấp hành Trung ương Đảng khóa X (tháng
Câu 23: A | A. Đại hội XII của Đảng (2016).
Câu 24: A | A. Ngày 11/11/1945 - Hội Nghiên cứu Chủ nghĩa Mác ở Đông Dương.
Câu 25: C | C. Vùng sau lưng địch.
Câu 26: C | C. Mặt trận dân tộc thống nhất.
Câu 27: A | A. Chính phủ Bảo Đại - Trần Trọng Kim.
Câu 28: B | B. Nguyễn Ái Quốc bỏ phiếu tán thành việc gia nhập Quốc tế III và tham gia thành
Câu 29: A | A. Thông qua 10 chính sách lớn của Việt Minh.
Câu 31: A | A. Vũ trang tuyên truyền, diệt ác trừ gian.
Câu 32: B | B. Ban hành Lệnh Khởi nghĩa (Quân lệnh số I)
Câu 33: B | B. Làm cách mạng tư sản dân quyền và thổ địa cách mạng để đi tới xã hội cộng sản.
Câu 34: A | A. Chủ nghĩa Mác - Lênin kết hợp với phong trào công nhân và phong trào yêu
Câu 35: A | A. Lực lượng trung gian đã ngả hẳn về phía cách mạng.
Câu 36: A | A. Vận mệnh dân tộc “như ngàn cân treo sợi tóc”.
Câu 37: B | B. Trùng Khánh.
Câu 38: B | B. Quân đội Việt Nam Cộng hòa là lực lượng chủ lực.
Câu 39: B | B. Đánh dấu sự sụp đổ hoàn toàn của chiến lược “Việt Nam hoá chiến tranh”.
Câu 40: A | A. Đánh chắc, tiến chắc.
Câu 41: D | D. Cả ba phương án kia đều đúng.
Câu 42: B | B. Một số quyền lợi về kinh tế và văn hoá.
Câu 43: D | D. Cả ba phương án kia đều đúng.
Câu 44: D | D. Cả ba phương án kia đều đúng.
Câu 45: B | B. “Tuần lễ vàng”.
Câu 46: A | A. Trung đoàn Thủ đô
Câu 47: A | A. Nhân nhượng/ lấn tới/ cướp nước ta.
Câu 49: C | C. “Thành đồng Tổ quốc”.
Câu 50: A | A. “Vì miền Nam anh dũng”
Câu 51: A | A. Giúp thực dân Pháp quay trở lại xâm lược nước ta.
Câu 52: C | C. Việt Nam và Pháp ký kết Hiệp định Sơ bộ (6-3-1946).
Câu 53: A | A. Bình dân học vụ.
Câu 54: A | A. Độc lập về chính trị, nhân nhượng về kinh tế.
Câu 55: B | B. Làm phá sản kế họach “đánh nhanh thắng nhanh”, buộc địch chuyển sang đánh
Câu 56: A | A. Các thế lực đế quốc và phản động bao vây, chống phá.
Câu 57: B | B. Tổng tuyển cử tự do trong cả nước dưới sự giám sát của một Ủy ban quốc tế.
Câu 58: A | A. Hồ Chí Minh.
Câu 59: B | B. Đánh đuổi Nhật, Pháp.
Câu 60: A | A. Chiến dịch Điện Biên Phủ 1954.
Câu 61: D | D. Cả ba phương án kia đều đúng.
Câu 62: A | A. Lấy nông thôn làm hướng tiến công chính.
Câu 63: D | D. Cả ba phương án kia đều đúng.
Câu 64: A | A. Tập trung binh lực.
Câu 65: B | B. Thu hút và tiêu diệt bộ đội chủ lực của Việt Nam.
Câu 66: A | A. Cách mạng DTDCND ở miền Nam giữ vai trò quyết định trực tiếp đối với sự
Câu 67: D | D. Tiêu diệt một bộ phận quan trọng sinh lực địch.
Câu 68: A | A. Đây là cuộc tiến công có quy mô lớn trên toàn Miền Nam mà hướng trọng tâm là
Câu 69: B | B. Phong trào Cần Vương.
Câu 70: A | A. Thuộc địa phong kiến.
Câu 71: A | A. Buộc Mỹ ngừng ngay cuộc ném bom đánh phá miền Bắc 12 ngày đêm.
Câu 72: A | A. Mỹ rút hết quân viễn chinh và quân chư hầu về nước.
Câu 73: A | A. Chăm lo công cuộc chống nạn mù chữ.
Câu 74: C | C. “Thà chết tự do còn hơn sống nô lệ”.
Câu 75: B | B. Đất nước bị chia thành hai miền, có hai chế độ chính trị xã hội khác nhau.
Câu 76: A | A. Do lập trường hiếu chiến và dã tâm xâm lược nước ta của thực dân Pháp.
Câu 77: A | A. Chiến trường chính và vùng sau lưng địch.
Câu 78: B | B. Đất nước hoàn toàn độc lập, thống nhất, quá độ đi lên chủ nghĩa xã hội.
Câu 79: A | A. Hội nghị Trung ương lần thứ 24 khóa III (8/1975).
Câu 80: A | A. Đại hội IV của Đảng (1976).
Câu 81: A | A. Ngày 17/2/1979.
Câu 82: C | C. Nhanh chóng kết thúc chiến tranh ở Đông Dương.
Câu 83: A | A. Dùng người Việt đánh người Việt, lấy chiến tranh nuôi chiến tranh.
Câu 84: B | B. “Làm cho sản xuất bung ra”.
Câu 85: A | A. Đại hội V của Đảng (1982).
Câu 86: B | B. Năm 1934.
Câu 87: A | A. Trường Chinh và Võ Nguyên Giáp.
Câu 88: B | B. Là quốc sách hàng đầu.
Câu 90: D | D. Cả ba phương án kia đều đúng.
Câu 91: D | D. Cả ba phương án kia đều đúng.
Câu 92: D | D. Chiến tranh Việt Nam - Trung Quốc sẽ khó nổ ra trong 10 năm tới.
Câu 93: A | A. Tất cả các phương án đều đúng.
Câu 94: A | A. Kinh tế.
Câu 95: B | B. Công nghiệp nặng.
Câu 96: A | A. Nghị quyết số 08-NQ/TW của Bộ Chính trị khóa VII (tháng 11/1993).
Câu 97: A | A. Sai lầm nghiêm trọng về chủ trương, chính sách lớn, về chỉ đạo chiến lược và về tổ
Câu 98: D | D. 6 đặc trưng.
Câu 99: A | A. Khoán sản phẩm cuối cùng đến nhóm hộ và hộ xã viên.
Câu 100: D | D. Cả ba phương án kia đều đúng.
Câu 101: A | A. Diệt Cộng, cầm Hồ
Câu 102: C | C. Vì địa vị kinh tế của họ bấp bênh, thái độ hay dao động
Câu 103: B | B. 2013
Câu 104: B | B. Ứng xử của các bên ở biển Đông
Câu 105: C | C. Đảng Lao động Việt Nam
Câu 105: B | B. Đảng muốn tập trung sức lực cho cuộc kháng chiến chống Pháp
Câu 107: C | C. Công nhân, nông dân, tiểu tư sản và tư sản dân tộc
Câu 108: B | B. Tư sản dân quyền và thổ địa cách mạng để đi tới xã hội cộng sản
Câu 109: C | C. Biên giới
Câu 110: B | B. Tham gia lực lượng gìn giữ hòa bình quốc tế
Câu 111: B | B. Đấu tranh chống chủ nghĩa phát-xít, chống chiến tranh, bảo vệ dân chủ và hòa
Câu 112: B | B. Giúp cán bộ, đảng viên của Đảng được rèn luyện và trưởng thành
Câu 113: C | C. Mặt trận nhân dân Pháp lên cầm quyền ở Đông Dương
Câu 114: B | B. Bắt người dân nhổ lúa, trồng đay lấy nguyên liệu phục vụ chiến tranh
Câu 115: B | B. Khởi nghĩa Nam Kì (1940)
Câu 116: D | D. Tập trung, thống nhất và kịp thời
Câu 118: C | C. Ủy ban dân tộc Giải phóng Việt Nam
Câu 119: B | B. Độc lập và tự do
Câu 120: A | A. Chưa có quốc gia nào ủng hộ lập trường độc lập và công nhận địa vị pháp lý
Câu 121: B | B. Thu mua lương thực từ nước ngoài
Câu 122: A | A. Phát hành đồng giấy bạc Việt Nam
Câu 123: B | B. Phổ thông đầu phiếu
Câu 124: C | C. Bầu cử Hội đồng nhân dân các cấp
Câu 125: A | A. Nhà hát lớn Hà Nội
Câu 126: C | C. Chiến tranh đặc biệt
Câu 127: A | A. Trở thành hậu phương vững chắc, đủ sức cung cấp nhân lực, tài lực, vật lực
Câu 128: C | C. Quân giải phóng miền Nam Việt Nam
Câu 129: A | A. Sự chi viện nhiệt tình của hậu phương miền Bắc cho tiền tuyến miền Nam trong
Câu 130: A | A. Tích cực mua sắm vũ khí, lương thực
